,Marke,Geschlecht,Gewicht in g/qm,Baumwollanteil,Anteil recyclter Baumwolle,Anteil Polyester,Anteil Elasthan/Stretch,sonstige Materialien
0,Marke_1,m,440.78,98,0,0,2,
1,Marke_1,m,474.68,97,0,0,3,
2,Marke_1,m,423.82,100,0,0,0,
3,Marke_1,m,440.78,98,0,0,2,
4,Marke_1,m,440.78,0,50,0,0,50% Lenzing
5,Marke_1,m,440.78,98,0,0,2,
6,Marke_1,m,440.78,98,0,0,2,
7,Marke_1,m,372.97,98,0,0,2,
8,Marke_1,m,406.87,98,0,0,2,
9,Marke_1,m,423.82,100,0,0,0,
10,Marke_1,m,644.21,100,0,0,0,
11,Marke_1,m,406.87,98,0,0,2,
12,Marke_1,w,440.78,99,0,0,1,
13,Marke_1,w,440.78,97,0,0,3,
14,Marke_1,w,440.78,98,0,0,2,
15,Marke_1,w,440.78,98,0,0,2,
16,Marke_1,w,440.78,97,0,0,3,
17,Marke_1,w,440.78,98,0,0,2,
18,Marke_2,m,,98,0,0,2,
19,Marke_2,m,423.82,100,0,0,0,
20,Marke_2,m,372.97,98,0,0,2,
21,Marke_2,m,356.01,100,0,0,0,
22,Marke_2,m,406.87,100,0,0,0,
23,Marke_2,m,406.87,100,0,0,0,
24,Marke_2,m,406.87,100,0,0,0,
25,Marke_2,m,356.01,100,0,0,0,
26,Marke_2,m,406.87,100,0,0,0,
27,Marke_2,m,508.59,100,0,0,0,
28,Marke_2,m,423.82,100,0,0,0,
29,Marke_2,m,474.68,100,0,0,0,
30,Marke_2,m,406.87,98,0,0,2,
31,Marke_2,m,,98,0,0,2,
32,Marke_2,m,406.87,98,0,0,2,
33,Marke_2,m,423.82,98,0,0,2,
34,Marke_2,m,508.59,98,0,0,2,
35,Marke_2,m,440.78,100,0,0,0,
36,Marke_2,m,440.78,100,0,0,0,
37,Marke_2,m,474.68,100,0,0,0,
38,Marke_2,m,440.78,100,0,0,0,
39,Marke_2,m,,98,0,0,2,
40,Marke_2,m,,98.7,0,0,1.3,
41,Marke_2,m,,98.7,0,0,1.3,
42,Marke_2,m,,79,20,0,1,
43,Marke_2,m,,50,50,0,0,
44,Marke_2,m,,98.7,0,0,1.3,
45,Marke_2,m,461.12,0,100,0,0,
46,Marke_2,m,474.68,100,0,0,0,
47,Marke_2,m,,79,20,0,1,
48,Marke_2,m,,79,0,0,1,20% Hanf
49,Marke_2,m,471.29,80,20,0,0,
50,Marke_2,m,,60,40,0,0,
51,Marke_2,m,,79,20,0,1,
52,Marke_2,m,,99,0,0,1,
53,Marke_2,m,,100,0,0,0,
54,Marke_2,m,,99,0,0,1,
55,Marke_2,m,,98,0,0,2,
56,Marke_2,m,,98.7,0,0,1.3,
57,Marke_2,m,,99,0,0,1,
58,Marke_2,m,,98,0,0,2,
59,Marke_2,w,356.01,98,0,0,2,
60,Marke_2,w,,98,0,0,2,
61,Marke_2,w,356.01,98,0,0,2,
62,Marke_2,w,356.01,98,0,0,2,
63,Marke_2,w,356.01,98,0,0,2,
64,Marke_2,w,356.01,98,0,0,2,
65,Marke_2,w,356.01,98,0,0,2,
66,Marke_2,w,372.97,98,0,0,2,
67,Marke_2,w,356.01,98,0,0,2,
68,Marke_2,w,356.01,98,0,0,2,
69,Marke_2,w,,60,40,0,0,
70,Marke_2,w,364.83,97,0,0,3,
71,Marke_2,w,364.83,97,0,0,3,
72,Marke_2,w,385.17,99,0,0,1,
73,Marke_2,w,385.17,99,0,0,1,
74,Marke_2,w,,97,0,0,3,
75,Marke_2,w,,97,0,0,3,
76,Marke_2,w,385.17,99,0,0,1,
77,Marke_2,w,,0,100,0,0,
78,Marke_2,w,,98.7,0,0,1.3,
79,Marke_2,w,,50,50,0,0,
80,Marke_2,w,,100,0,0,0,
81,Marke_2,w,,92,0,0,2,6% T400 Eco-Made
82,Marke_2,w,,100,0,0,0,
83,Marke_2,w,,100,0,0,0,
84,Marke_2,w,,20,0,0,0,
85,Marke_2,w,,100,0,0,0,
86,Marke_2,w,,100,0,0,0,
87,Marke_2,w,,62,30,0,2,6% T400 Eco-Made
88,Marke_2,w,,79,20,0,1,
89,Marke_2,w,,92,0,0,2,6% T400 Eco-Made
90,Marke_2,w,,98,0,0,2,
91,Marke_2,w,,60,40,0,0,
92,Marke_2,w,,60,40,0,0,
93,Marke_2,w,,98,0,0,2,
94,Marke_2,w,,99,0,0,1,
95,Marke_2,w,,79,20,0,1,
96,Marke_2,w,,97,0,0,3,
97,Marke_2,w,,97,0,0,3,
98,Marke_2,w,,100,0,0,0,
99,Marke_2,w,,99,0,0,1,
100,Marke_3,m,481.47,100,0,0,0,
101,Marke_3,m,423.82,99,0,0,1,
102,Marke_3,m,505.2,100,0,0,0,
103,Marke_3,m,423.82,99,0,0,1,
104,Marke_3,m,440.78,100,0,0,0,
105,Marke_3,m,423.82,99,0,0,1,
106,Marke_3,m,479.77,100,0,0,0,
107,Marke_3,m,505.2,100,0,0,0,
108,Marke_3,m,440.78,100,0,0,0,
