Langlebigkeit,Recyclebarkeit,Regenerativ,Anteil Baumwolle,Anteil recyclte Baumwolle,Anteil Viskose,Anteil Polytester,Stoffgewicht
1,1,Ja,0 <= x < 80,> 20,,,< 135 g/qm
1,1,Nein,70 < x < 100,,,0 < x < 30,< 135 g/qm
1,2,Ja,100,,,,< 135 g/qm
1,2,Nein,70 < x < 100,,,0 < x < 30,< 135 g/qm
1,3,Ja,,,100,,< 135 g/qm
1,3,Nein,,,,100,< 135 g/qm
2,1,Ja,80 < x < 95,5 < x < 20,,,< 135 g/qm
2,1,Nein,100 < x < 70,,,0 < x < 30,135 g/qm <= x < 205 g/qm
2,2,Ja,100,,,0 < x < 30,135 g/qm <= x < 205 g/qm
2,2,Nein,100 < x < 70,,,0 < x < 30,135 g/qm <= x < 205 g/qm
2,3,Ja,,,100,,135 g/qm <= x < 205 g/qm
2,3,Nein,,,,100,<135 g/qm
3,1,Ja,80 < x < 95,5 < x < 20,,,135 g/qm <= x < 205 g/qm
3,1,Nein,70 < x < 100,,,0 < x < 30,x >= 205 g/qm
3,2,Ja,100,,,,> 205 g/qm
3,2,Nein,70 < x < 100,,,0 < x < 30,x >= 205 g/qm
3,3,Ja,,,,100,> 205 g/qm
3,3,Nein,,,,100,135 g/qm <= x < 205 g/qm
4,1,Ja,80 < x < 95,5 < x < 20,,,>= 205 g/qm
4,1,Nein,70 < x < 100,,,0 < x < 30,x >= 205 g/qm
4,2,Ja,,,,100,> 205 g/qm
4,2,Nein,70 < x < 100,,,0 < x < 30,x >= 205 g/qm
4,3,Ja,,,100,,x > 205 g/qm
4,3,Nein,,,,100,x > 205 g/qm
