,Marke,Geschlecht,Gewicht in g/qm,Baumwollanteil,Anteil recyclter Baumwolle,Anteil Polyester,Anteil Elasthan/Stretch,sonstige Materialien
0,Marke_1,m,,100,0,0,0,
1,Marke_1,m,,100,0,0,0,
2,Marke_1,m,,100,0,0,0,
3,Marke_1,m,,100,0,0,0,
4,Marke_1,m,,100,0,0,0,
5,Marke_1,m,,100,0,0,0,
6,Marke_1,m,,100,0,0,0,
7,Marke_1,m,,100,0,0,0,
8,Marke_1,m,,100,0,0,0,
9,Marke_1,m,,100,0,0,0,
10,Marke_1,m,,100,0,0,0,
11,Marke_1,m,,100,0,0,0,
12,Marke_1,m,,100,0,0,0,
13,Marke_1,m,,100,0,0,0,
14,Marke_1,m,,100,0,0,0,
15,Marke_1,m,,100,0,0,0,
16,Marke_1,m,,100,0,0,0,
17,Marke_1,w,,100,0,0,0,
18,Marke_1,w,,100,0,0,0,
19,Marke_1,w,,0,0,0,0,
20,Marke_1,w,,100,0,0,0,
21,Marke_1,w,,100,0,0,0,
22,Marke_1,w,,100,0,0,0,
23,Marke_1,w,,100,0,0,0,
24,Marke_1,w,,100,0,0,0,
25,Marke_1,w,,100,0,0,0,
26,Marke_1,w,,100,0,0,0,
27,Marke_1,w,,100,0,0,0,
28,Marke_1,w,,100,0,0,0,
29,Marke_1,w,,100,0,0,0,
30,Marke_1,w,,100,0,0,0,
31,Marke_2,m,200.0,100,0,0,0,
32,Marke_2,m,200.0,100,0,0,0,
33,Marke_2,m,180.0,100,0,0,0,
34,Marke_2,m,180.0,100,0,0,0,
35,Marke_2,m,200.0,100,0,0,0,
36,Marke_2,m,200.0,100,0,0,0,
37,Marke_2,m,200.0,100,0,0,0,
38,Marke_2,m,200.0,100,0,0,0,
39,Marke_2,m,180.0,100,0,0,0,
40,Marke_2,m,180.0,100,0,0,0,
41,Marke_2,m,270.0,98,0,0,2,
42,Marke_2,m,270.0,98,0,0,2,
43,Marke_2,m,180.0,100,0,0,0,
44,Marke_2,m,180.0,100,0,0,0,
45,Marke_2,m,180.0,100,0,0,0,
46,Marke_2,m,180.0,100,0,0,0,
47,Marke_2,m,180.0,100,0,0,0,
48,Marke_2,m,180.0,100,0,0,0,
49,Marke_2,m,200.0,100,0,0,0,
50,Marke_2,m,200.0,100,0,0,0,
51,Marke_2,m,200.0,100,0,0,0,
52,Marke_2,m,200.0,100,0,0,0,
53,Marke_2,m,180.0,100,0,0,0,
54,Marke_2,m,180.0,100,0,0,0,
55,Marke_2,m,180.0,100,0,0,0,
56,Marke_2,m,180.0,100,0,0,0,
57,Marke_2,m,180.0,100,0,0,0,
58,Marke_2,m,180.0,100,0,0,0,
59,Marke_2,m,220.0,100,0,0,0,
60,Marke_2,m,220.0,100,0,0,0,
61,Marke_2,m,180.0,100,0,0,0,
62,Marke_2,m,180.0,100,0,0,0,
63,Marke_2,m,180.0,100,0,0,0,
64,Marke_2,m,180.0,100,0,0,0,
65,Marke_2,m,180.0,100,0,0,0,
